personId,firstName,lastName,height,bodyWeight,draftYear
76284,Bob,Brown,76.0,76284.0,-22.0
76285,Stan,Brown,75.0,200.0,-1.0
76286,Roger,Brown,83.0,76286.0,1971.0
76287,Jim,Browne,82.0,235.0,-1.0
76292,Torgeir,Bryn,81.0,250.0,-1.0
76294,Steve,Bucknall,78.0,215.0,-1.0
76306,Jack,Burmaster,75.0,76306.0,-22.0
76314,Ed,Burton,78.0,76314.0,-22.0
76322,Tommy,Byrnes,75.0,175.0,-1.0
76323,Mike,Bytzura,73.0,170.0,-1.0
76331,Bill,Calhoun,75.0,180.0,-1.0
76332,Demetrius,Calip,73.0,165.0,-1.0
76333,Tom,Callahan,73.0,180.0,-1.0
76334,Rick,Calloway,78.0,180.0,-1.0
76335,Ernie,Calverley,70.0,76335.0,-22.0
76337,Dexter,Cambridge,79.0,76337.0,-22.0
76340,Howie,Carl,69.0,76340.0,1961.0
76341,Chet,Carlisle,77.0,195.0,-1.0
76343,Al,Carlson,83.0,76343.0,-22.0
76344,Don,Carlson,72.0,170.0,-1.0
76346,Bob,Carpenter,77.0,200.0,-1.0
76352,Bob,Carrington,78.0,76352.0,1976.0
76353,Joe Barry,Carroll,84.0,76353.0,1980.0
76356,Fred,Carter,75.0,76356.0,1969.0
76357,George,Carter,76.0,76357.0,1967.0
76364,Cornelius,Cash,80.0,76364.0,1975.0
76370,Ron,Cavenall,85.0,230.0,-1.0
76373,Al,Cervi,71.0,170.0,-1.0
76378,Mike,Champion,82.0,230.0,-1.0
76380,John,Chaney,75.0,185.0,-1.0
76383,Ken,Charles,75.0,76383.0,1973.0
76386,Phil,Chenier,75.0,76386.0,-22.0
76391,Leroy,Chollet,74.0,190.0,-1.0
76393,Fred,Christ,76.0,210.0,-1.0
76398,Carlos,Clark,76.0,76398.0,1983.0
76404,Nat,Clifton,78.0,220.0,-1.0
76406,Bill,Closs,78.0,195.0,-1.0
76408,Marion,Cluggish,82.0,235.0,-1.0
76410,Richard,Coffey,78.0,212.0,-1.0
76422,Joe,Colone,77.0,210.0,-1.0
76425,Leroy,Combs,80.0,76425.0,1983.0
76432,Chuck,Connors,77.0,190.0,-1.0
76433,Anthony,Cook,81.0,76433.0,1989.0
76434,Bert,Cook,75.0,76434.0,-22.0
76439,David,Cooke,80.0,230.0,-1.0
76440,Joe,Cooke,75.0,76440.0,1970.0
76446,Tom,Copa,82.0,275.0,-1.0
76448,Lanard,Copeland,78.0,190.0,-1.0
76451,Ken,Corley,,76451.0,-22.0
76456,Jack,Cotton,79.0,200.0,-1.0
76468,Jim,Creighton,80.0,76468.0,1972.0
76470,Hal,Crisler,75.0,215.0,-1.0
76471,Charlie,Criss,68.0,165.0,-1.0
76473,Dillard,Crocker,76.0,205.0,-1.0
76482,Corey,Crowder,77.0,214.0,-1.0
76488,Radisav,Curcic,82.0,275.0,-1.0
76489,Armand,Cure,72.0,198.0,-1.0
76492,Fran,Curran,72.0,175.0,-1.0
76498,Howie,Dallmar,76.0,200.0,-1.0
76499,Lou,Dampier,72.0,76499.0,1967.0
76502,Mel,Daniels,81.0,76502.0,1967.0
76506,Henry,Darcey,79.0,217.0,-1.0
76511,Jimmy,Darrow,70.0,76511.0,1960.0
76514,Bob,Davies,73.0,175.0,-1.0
